store_id,product_id,customer_id,quantity,price,discount,sale_date,total_amount
S001,P0031,71,2,70.49,0.0,2025-03-03,140.98
S001,P0034,5,3,60.78,0.1,2025-03-05,182.24
S001,P0031,98,2,92.81,0.25,2025-03-05,185.37
S002,P0036,60,4,11.81,0.0,2025-03-06,47.24
S001,P0031,19,2,6.24,0.15,2025-03-06,12.33
S002,P0049,98,2,38.24,0.0,2025-03-06,76.48
S003,P0034,26,4,45.35,0.0,2025-03-07,181.4
S001,P0016,88,2,53.17,0.0,2025-03-07,106.34
S001,P0041,8,3,82.51,0.2,2025-03-02,247.33000000000004
S002,P0025,67,3,82.37,0.0,2025-03-04,247.11
S001,P0048,38,3,29.11,0.25,2025-03-05,87.08
S003,P0018,41,2,23.09,0.1,2025-03-06,46.08
S004,P0034,62,3,13.57,0.1,2025-03-01,40.61
S003,P0039,9,3,79.12,0.1,2025-03-02,237.26000000000002
S004,P0020,30,3,72.28,0.0,2025-03-01,216.84
S003,P0050,100,3,95.66,0.0,2025-03-05,286.98
S004,P0011,8,3,6.97,0.0,2025-03-03,20.91
S005,P0021,86,4,28.32,0.0,2025-03-05,113.28
S004,P0045,91,4,95.25,0.05,2025-03-02,380.95
S005,P0008,41,3,12.21,0.2,2025-03-03,36.43
S001,P0020,84,2,55.37,0.0,2025-03-02,110.74
S004,P0001,11,3,10.21,0.0,2025-03-01,30.630000000000003
S001,P0024,81,1,41.0,0.05,2025-03-05,40.95
S005,P0032,26,3,35.1,0.0,2025-03-01,105.30000000000001
S004,P0049,25,3,96.53,0.0,2025-03-04,289.59000000000003
S004,P0042,77,3,17.35,0.0,2025-03-03,52.050000000000004
S005,P0016,51,2,10.12,0.05,2025-03-04,20.189999999999998
S005,P0048,6,3,99.86,0.25,2025-03-07,299.33
S004,P0020,66,3,23.71,0.05,2025-03-02,71.08
S004,P0043,85,4,68.51,0.05,2025-03-06,273.99
S003,P0045,36,3,16.12,0.0,2025-03-03,48.36
S002,P0028,59,2,94.98,0.0,2025-03-06,189.96
S005,P0016,2,2,90.73,0.2,2025-03-05,181.26000000000002
S002,P0029,13,4,99.85,0.0,2025-03-02,399.4
S002,P0016,76,4,19.55,0.0,2025-03-01,78.2
S004,P0031,74,2,87.03,0.0,2025-03-06,174.06
