product_id,store_id,stock_on_hand,stock_sold,reorder_level
P001,S001,145.0,23,24
P002,S001,127.0,12,43
P003,S001,110.0,45,39
P004,S001,,42,47
P005,S001,136.0,13,30
P006,S001,155.0,47,27
P007,S001,42.0,10,31
P008,S001,155.0,9,44
P009,S001,133.0,29,30
P010,S001,153.0,45,40
P011,S001,144.0,46,47
P012,S001,190.0,42,26
P013,S001,121.0,47,36
P014,S001,167.0,43,33
P015,S001,98.0,39,45
P016,S001,136.0,26,21
P017,S001,176.0,31,34
P018,S001,158.0,42,35
P019,S001,4178.0,18,32
P020,S001,140.0,28,40
P021,S001,103.0,10,39
P022,S001,193.0,49,37
P023,S001,48.0,12,33
P024,S001,152.0,8,40
P025,S001,125.0,13,44
P026,S001,109.0,15,32
P027,S001,53.0,11,33
P028,S001,77.0,5,32
P029,S001,167.0,44,49
P030,S001,118.0,33,26
P031,S001,129.0,40,
P032,S001,47.0,25,22
P033,S001,152.0,26,35
P034,S001,196.0,41,21
P035,S001,101.0,8,44
P036,S001,94.0,45,42
P037,S001,49.0,10,21
P038,S001,108.0,12,29
P039,S001,90.0,49,41
P040,S001,143.0,21,44
P041,S001,3074.0,41,41
P042,S001,95.0,45,21
P043,S001,107.0,28,32
P044,S001,56.0,22,20
P045,S001,111.0,6,25
P046,S001,110.0,49,40
P047,S001,158.0,15,33
P048,S001,99.0,10,33
P049,S001,110.0,8,34
P050,S001,46.0,11,33
P001,S002,153.0,20,32
P002,S002,132.0,12,25
P003,S002,78.0,34,22
P004,S002,192.0,19,23
P005,S002,130.0,30,25
P006,S002,160.0,35,48
P007,S002,170.0,37,33
P008,S002,161.0,26,44
P009,S002,130.0,17,48
P010,S002,156.0,47,47
P011,S002,92.0,41,47
P012,S002,115.0,19,42
P013,S002,88.0,27,38
P014,S002,180.0,24,21
P015,S002,141.0,26,21
P016,S002,172.0,26,32
P017,S002,85.0,6,Thirty
P018,S002,182.0,8,48
P019,S002,155.0,44,39
P020,S002,140.0,5,46
P021,S002,193.0,27,28
P022,S002,117.0,40,30
P023,S002,187.0,39,49
P024,S002,104.0,39,35
P025,S002,183.0,47,40
