product_id,store_id,stock_on_hand,stock_sold,reorder_level
P001,S001,46.0,18,25
P002,S001,52.0,14,22
P003,S001,151.0,30,37
P004,S001,146.0,7,42
P005,S001,45.0,8,29
P006,S001,184.0,21,42
P007,S001,107.0,28,34
P008,S001,68.0,45,23
P009,S001,163.0,5,36
P010,S001,,48,42
P011,S001,183.0,21,
P012,S001,93.0,9,43
P013,S001,164.0,37,31
P014,S001,103.0,17,38
P015,S001,162.0,43,26
P016,S001,43.0,7,34
P017,S001,121.0,43,44
P018,S001,125.0,39,36
P019,S001,108.0,9,34
P020,S001,79.0,49,25
P021,S001,113.0,32,33
P022,S001,92.0,8,41
P023,S001,112.0,48,37
P024,S001,98.0,23,33
P025,S001,193.0,26,43
P026,S001,87.0,43,44
P027,S001,107.0,40,35
P028,S001,98.0,11,45
P029,S001,129.0,46,36
P030,S001,86.0,33,Thirty
P031,S001,142.0,8,45
P032,S001,107.0,15,24
P033,S001,76.0,15,43
P034,S001,116.0,14,46
P035,S001,140.0,6,43
P036,S001,185.0,43,33
P037,S001,95.0,27,49
P038,S001,,19,43
P039,S001,154.0,28,48
P040,S001,75.0,48,24
P041,S001,80.0,7,47
P042,S001,129.0,24,30
P043,S001,166.0,36,23
P044,S001,110.0,21,40
P045,S001,175.0,38,37
P046,S001,193.0,43,30
P047,S001,44.0,11,28
P048,S001,114.0,8,Thirty
P049,S001,3160.0,28,
P050,S001,100.0,7,
P001,S002,81.0,22,49
P002,S002,160.0,15,33
P003,S002,125.0,36,48
P004,S002,99.0,34,30
P005,S002,63.0,13,
P006,S002,78.0,12,21
P007,S002,50.0,19,21
P008,S002,92.0,8,48
P009,S002,67.0,12,20
P010,S002,154.0,27,43
P011,S002,171.0,44,21
P012,S002,176.0,34,24
P013,S002,159.0,23,49
P014,S002,98.0,18,30
P015,S002,81.0,5,49
P016,S002,88.0,44,32
P017,S002,129.0,11,29
P018,S002,98.0,32,33
P019,S002,61.0,28,21
P020,S002,73.0,18,35
P021,S002,99.0,21,37
P022,S002,74.0,26,29
P023,S002,142.0,42,23
P024,S002,172.0,19,45
P025,S002,80.0,45,24
P026,S002,118.0,24,35
P027,S002,102.0,6,38
P028,S002,108.0,20,40
P029,S002,79.0,22,41
P030,S002,168.0,15,36
P031,S002,181.0,8,27
P032,S002,103.0,35,23
P033,S002,98.0,10,22
P034,S002,188.0,14,39
P035,S002,83.0,32,31
P036,S002,112.0,6,21
P037,S002,53.0,12,40
P038,S002,177.0,41,38
P039,S002,85.0,27,30
P040,S002,150.0,27,46
P041,S002,155.0,39,45
P042,S002,109.0,37,46
P043,S002,107.0,20,41
P044,S002,150.0,11,21
P045,S002,166.0,15,47
P046,S002,150.0,25,
P047,S002,84.0,18,44
P048,S002,102.0,11,21
P049,S002,97.0,11,
P050,S002,95.0,7,40
P001,S003,80.0,22,22
P002,S003,191.0,10,31
P003,S003,104.0,25,43
P004,S003,120.0,30,39
P005,S003,121.0,6,21
P006,S003,71.0,18,22
P007,S003,167.0,49,49
P008,S003,110.0,45,42
P009,S003,120.0,35,20
P010,S003,142.0,35,40
P011,S003,111.0,18,48
P012,S003,129.0,19,36
P013,S003,104.0,38,46
P014,S003,128.0,43,26
P015,S003,102.0,31,40
P016,S003,164.0,33,46
P017,S003,166.0,44,49
P018,S003,154.0,17,39
P019,S003,111.0,6,32
P020,S003,153.0,23,42
P021,S003,186.0,16,24
P022,S003,190.0,48,22
P023,S003,159.0,22,41
P024,S003,192.0,44,42
P025,S003,90.0,46,40
P026,S003,164.0,40,43
P027,S003,63.0,14,46
P028,S003,104.0,49,26
P029,S003,169.0,23,47
P030,S003,144.0,28,26
P031,S003,154.0,10,48
P032,S003,66.0,27,26
P033,S003,128.0,33,37
P034,S003,80.0,48,29
P035,S003,110.0,10,25
P036,S003,66.0,39,24
P037,S003,163.0,17,36
P038,S003,88.0,49,31
P039,S003,96.0,25,23
P040,S003,80.0,6,21
P041,S003,170.0,8,49
P042,S003,96.0,23,37
P043,S003,89.0,19,39
P044,S003,186.0,18,37
P045,S003,161.0,33,35
P046,S003,130.0,49,38
P047,S003,84.0,33,48
P048,S003,85.0,18,41
P049,S003,76.0,40,23
P050,S003,164.0,33,48
P001,S004,113.0,20,32
P002,S004,98.0,10,36
P003,S004,164.0,46,29
P004,S004,180.0,7,34
P005,S004,184.0,11,38
P006,S004,170.0,22,37
P007,S004,153.0,12,42
P008,S004,165.0,28,20
P009,S004,69.0,42,21
P010,S004,49.0,22,22
P011,S004,80.0,16,38
P012,S004,92.0,32,27
P013,S004,128.0,11,21
P014,S004,186.0,46,29
P015,S004,189.0,12,46
P016,S004,165.0,7,21
P017,S004,78.0,25,43
P018,S004,119.0,45,44
P019,S004,32.0,5,20
P020,S004,59.0,18,40
P021,S004,78.0,42,20
P022,S004,181.0,41,48
P023,S004,99.0,18,31
P024,S004,162.0,44,44
P025,S004,118.0,39,22
P026,S004,128.0,31,20
P027,S004,133.0,29,32
P028,S004,149.0,40,43
P029,S004,182.0,28,48
P030,S004,126.0,6,49
P031,S004,86.0,37,29
P032,S004,69.0,17,35
P033,S004,64.0,40,21
P034,S004,121.0,21,21
P035,S004,64.0,23,27
P036,S004,124.0,17,41
P037,S004,181.0,37,41
P038,S004,118.0,35,23
P039,S004,115.0,29,47
P040,S004,151.0,44,46
P041,S004,152.0,21,33
P042,S004,153.0,5,49
P043,S004,84.0,12,38
P044,S004,87.0,22,46
P045,S004,157.0,22,30
P046,S004,76.0,12,
P047,S004,150.0,15,39
P048,S004,124.0,23,31
P049,S004,48.0,24,23
P050,S004,130.0,45,42
P001,S005,115.0,35,21
P002,S005,155.0,25,46
