store_id,product_id,customer_id,quantity,price,discount,sale_date
S005,P0037,226,3,96.03,0.0,2025-03-10
S003,P0040,218,2,69.74,0.1,2025-03-10
S004,P0028,210,2,17.11,0.05,2025-03-13
S002,P0034,238,2,10.96,0.05,2025-03-10
S003,P0028,242,3,66.98,0.05,2025-03-11
S004,P0039,236,5,41.27,0.0,2025-03-08
S004,P0048,124,2,74.14,0.05,2025-03-11
S001,P0043,217,2,51.99,0.05,2025-03-11
S002,P0008,109,5,52.7,0.0,2025-03-08
S002,P0025,206,3,25.06,0.05,2025-03-12
S005,P0042,240,2,35.7,0.15,2025-03-12
S005,P0004,220,2,65.63,0.05,2025-03-14
S001,P0010,235,5,3.33,0.05,2025-03-09
S003,P0025,155,3,31.01,0.2,2025-03-11
S005,P0031,203,4,28.33,0.0,2025-03-13
S001,P0030,165,error,17.41,0.15,2025-03-13
S002,P0033,154,4,23.78,0.1,2025-03-14
S001,P0041,139,3,5.47,0.0,2025-03-10
S001,P0029,130,2,98.31,0.05,2025-03-12
S003,P0035,151,3,66.3,0.05,2025-03-14
S003,P0016,209,4,81.58,0.0,2025-03-08
S001,P0016,164,4,13.26,0.15,2025-03-12
S004,P0036,231,1,73.11,0.25,2025-03-13
S001,P0001,217,2,80.9,0.0,2025-03-11
S005,P0049,236,3,63.77,0.15,2025-03-10
S001,P0028,102,3,77.08,0.15,2025-03-12
S005,P0030,109,5,56.41,0.0,2025-03-13
S003,P0038,136,4,91.34,0.0,2025-03-08
S002,P0040,105,3,31.98,0.05,2025-03-12
S001,P0021,101,3,92.08,0.05,2025-03-14
S001,P0011,133,3,97.86,0.1,2025-03-12
S001,P0025,165,2,53.01,0.0,2025-03-14
S001,P0048,155,3,78.62,0.0,2025-03-13
S005,P0043,229,2,22.27,0.0,2025-03-09
S004,P0027,219,2,59.76,0.0,2025-03-10
S002,P0048,171,3,73.18,0.05,2025-03-10
S001,P0009,230,2,71.28,0.2,2025-03-08
S002,P0046,133,3,45.91,0.0,2025-03-14
S004,P0031,105,3,73.05,0.05,2025-03-14
S005,P0047,212,2,96.71,,2025-03-11
S002,P0040,110,5,4.98,,2025-03-08
S005,P0039,250,3,57.98,0.05,2025-03-14
S002,P0042,220,4,8.59,0.05,2025-03-08
S004,P0024,101,4,82.47,0.1,2025-03-13
S001,P0028,186,2,75.7,0.0,2025-03-14
S005,P0044,249,2,49.1,0.05,2025-03-09
S002,P0031,212,3,61.76,0.0,2025-03-09
S005,P0026,206,3,30.2,0.1,2025-03-12
S001,P0035,222,3,61.01,0.05,2025-03-11
S005,P0050,234,2,51.54,0.05,2025-03-09
S004,P0022,190,4,40.52,0.05,2025-03-10
S005,P0041,190,3,30.69,0.25,2025-03-13
S002,P0018,229,1,36.55,0.2,2025-03-14
S003,P0050,116,3,16.61,0.0,2025-03-09
S002,P0035,180,2,15.87,0.05,2025-03-14
S005,P0034,105,4,93.01,0.0,2025-03-09
S002,P0003,113,error,62.94,0.0,2025-03-11
S004,P0020,111,2,17.91,0.0,2025-03-08
S003,P0049,207,2,83.44,0.0,2025-03-11
S001,P0026,182,3,36.75,0.0,2025-03-10
S003,P0002,192,2,74.36,0.15,2025-03-11
S002,P0018,130,2,38.93,0.1,2025-03-13
S004,P0035,180,3,50.01,0.1,2025-03-10
S003,P0037,110,5,34.83,0.0,2025-03-10
S002,P0004,110,2,31.84,0.1,2025-03-09
S005,P0037,173,4,32.08,0.0,2025-03-13
S002,P0038,118,2,49.18,0.0,2025-03-10
S001,P0043,232,2,55.71,0.1,2025-03-14
S001,P0039,176,error,41.25,0.15,2025-03-14
S001,P0048,177,4,85.9,0.1,2025-03-10
S002,P0026,235,2,51.9,0.1,2025-03-09
S005,P0014,235,4,60.01,0.1,2025-03-12
S002,P0028,169,4,1183.102740493467,0.05,2025-03-09
S002,P0033,196,5,86.63,0.05,2025-03-10
S005,P0048,132,5,96.74,0.05,2025-03-13
S002,P0018,179,2,16.66,0.05,2025-03-09
S001,P0038,185,4,36.45,0.0,2025-03-13
S004,P0040,122,3,60.88,0.05,2025-03-10
S003,P0006,103,1,45.25,0.15,2025-03-11
S001,P0013,122,5,12.83,0.1,2025-03-12
S001,P0040,162,2,40.55,0.05,2025-03-11
S004,P0016,189,2,12.79,0.0,2025-03-12
S004,P0045,144,2,3.19,0.2,2025-03-13
S003,P0043,208,5,9.87,0.25,2025-03-12
S001,P0027,232,3,5.76,0.15,2025-03-08
S002,P0021,156,3,95.08,0.15,2025-03-14
S002,P0047,122,3,24.7,0.05,2025-03-10
S001,P0048,103,1,55.91,0.0,2025-03-08
S002,P0050,224,4,5.86,0.1,2025-03-10
S003,P0035,204,4,87.1,0.05,2025-03-12
S004,P0046,202,2,59.13,0.0,2025-03-08
S003,P0025,190,3,87.93,0.2,2025-03-09
S003,P0038,101,3,53.05,0.0,2025-03-13
S003,P0038,242,2,67.8,0.2,2025-03-14
S002,P0008,210,2,53.22,0.15,2025-03-13
S003,P0047,175,2,91.23,0.05,2025-03-12
S003,P0032,163,2,76.16,0.0,2025-03-13
S002,P0041,224,1,39.18,0.15,2025-03-10
S002,P0019,218,2,25.47,0.1,2025-03-13
S002,P0020,162,2,70.95,0.05,2025-03-12
S004,P0047,197,3,44.71,0.1,2025-03-12
S002,P0045,140,3,80.11,0.05,2025-03-08
S005,P0050,163,4,59.39,0.05,2025-03-12
S005,P0045,153,2,60.63,0.05,2025-03-12
S003,P0001,195,2,13.0,0.0,2025-03-10
S002,P0031,139,2,88.89,0.2,2025-03-08
S003,P0018,223,2,28.78,0.0,2025-03-10
S003,P0031,135,2,36.06,0.2,2025-03-09
S005,P0014,237,2,7.84,0.0,2025-03-12
S001,P0042,105,4,54.28,0.05,2025-03-10
S005,P0014,170,3,73.55,0.05,2025-03-09
S004,P0034,163,2,80.01,0.0,2025-03-12
S001,P0019,208,5,87.16,0.05,2025-03-11
S001,P0047,159,5,9.82,0.0,2025-03-12
S002,P0044,121,4,52.47,0.1,2025-03-08
S004,P0025,115,3,41.0,0.15,2025-03-13
S001,P0048,218,4,1771.819102372842,,2025-03-11
S005,P0027,131,3,47.73,0.0,2025-03-13
S001,P0030,184,3,34.77,0.0,2025-03-11
S003,P0027,215,1,67.35,0.1,2025-03-09
S001,P0028,196,2,97.74,0.25,2025-03-08
S003,P0044,220,5,13.85,0.15,2025-03-12
S003,P0002,168,2,16.24,0.05,2025-03-09
S003,P0017,117,2,38.58,0.0,2025-03-13
